time,portfolio_value
2018,152.08994802679737
2019,152.93116564407617
2020,153.09488463304314
2021,153.42029100448468
2022,156.12220891030913
2023,155.60724285348036
2024,154.97222844130042
2025,155.69298303644624
2026,154.9985920492092
2027,154.62837174119556
2028,150.1815929967769
2029,148.61850357944073
2030,148.10135374391484
2031,147.40598723952928
2032,145.47741660859333
2033,144.25197219720022
2034,144.34068841291017
2035,144.96324706814244
2036,144.10022732157069
2037,142.9836234801013
2038,143.46562677877534
2039,144.3773993282182
2040,144.3044906867619
2041,145.03366880815517
2042,144.99764863678823
2043,144.31796051836704
2044,142.99846380285018
2045,143.46975744343683
2046,142.98920908247752
2047,142.80005615599694
2048,142.4374074564188
2049,141.61341550674032
2050,140.7152656122414
2051,140.31888170329285
2052,139.46406415927885
2053,141.55438656728018
2054,139.8794887759255
2055,139.39054599104992
2056,138.6561110195864
2057,139.38346884456962
2058,138.93460147914277
2059,139.1099365489832
2060,139.830375036283
2061,139.15600529733885
2062,138.50253766517147
2063,138.46912505853524
2064,138.34184361703745
2065,137.2445912838123
2066,136.24424867792519
2067,133.31525191207734
2068,131.36154225418528
2069,130.59934973173532
2070,129.5442116245148
2071,129.3221124041361
2072,128.62216578702746
2073,128.10806299037668
2074,129.0061051377068
2075,127.70609630868398
2076,127.57853632935766
2077,127.43276613743942
2078,127.03264018078526
2079,125.63606127186459
2080,126.21755605579177
2081,126.21815315008715
2082,125.49709940663594
2083,125.6420670898536
2084,126.0912158346466
2085,126.824798026261
2086,126.3030020984677
2087,126.44320315240456
2088,125.4600919511943
2089,123.57373633785961
2090,124.53318869353775
2091,123.54055994697832
2092,122.78113075109542
2093,121.49516078929439
2094,120.28424492296396
2095,120.34241312710763
2096,119.08507631494811
2097,117.35990657434452
2098,116.46180359089941
2099,116.94344754810986
2100,117.82268897571517
2101,116.35488268084355
2102,116.29550270901366
2103,115.09497176318094
2104,115.20994016159126
2105,115.11737689341395
2106,115.69487034271734
2107,114.31461947351112
2108,114.34282395635995
2109,114.11425265127117
2110,114.75549809426877
2111,114.42402867902076
2112,114.95931352280353
2113,115.44116831230272
2114,114.70309009400695
2115,114.99697239799768
2116,114.56497940241914
2117,114.67214737821615
2118,114.27516208607382
2119,115.00102189497811
2120,114.18633506769595
2121,112.80749020925575
2122,112.46549521796022
2123,112.10780817962147
2124,110.7068538515673
2125,110.88256435879066
2126,110.56185514311993
2127,108.64379753814815
2128,109.36388235081414
2129,110.54014403355364
2130,109.3528988576537
2131,108.85644062745187
2132,108.21472102430899
2133,107.94956120798668
2134,107.42507728431491
2135,105.41052403824985
2136,106.65619707260367
2137,106.08769687108972
2138,104.74740501525706
2139,105.22968053856218
2140,105.56513152759415
2141,104.68122476050289
2142,103.24081586603587
2143,102.14084470779635
2144,101.01300845258041
2145,102.19379892401643
2146,102.17985164784282
2147,103.06785056565671
2148,101.51897435623529
2149,103.46029269742836
2150,103.34788594316343
2151,103.28262598592192
2152,102.62166975528967
2153,103.40190492769918
2154,102.30545612198351
2155,102.25673168900583
2156,102.22334051973093
2157,102.1896742303487
2158,102.48092283929532
2159,102.3996972774704
2160,101.82484030573637
2161,103.12975756055239
2162,102.64709000785253
2163,102.71785689643966
2164,102.2677178732786
2165,102.9031232239197
2166,101.9811743346108
2167,103.54153518949867
2168,103.50151807432515
2169,102.44632720104921
2170,101.8031214121971
2171,101.67505476353399
2172,102.22467623801747
2173,102.57633915250344
2174,103.72104234888921
2175,102.92998009058019
2176,101.99229243220425
2177,101.07284984075967
2178,100.91543831358017
2179,101.05521141771715
2180,100.77911065863702
2181,100.59244187298331
2182,99.91906657276806
2183,99.23325186890523
2184,98.82908255234865
2185,98.08870507576364
2186,98.5368488373549
2187,98.58828048967924
2188,96.8745751178747
2189,96.56449240675752
2190,97.57701103072792
2191,97.57039837990403
2192,98.61949132100726
2193,98.0180930985607
2194,97.50515870001477
2195,98.50379552700579
2196,97.86199396096887
2197,98.32521120216393
2198,98.94342000358455
2199,98.40326065791216
2200,97.33809795810411
2201,97.41348061307005
2202,97.8001350784048
2203,96.2743679331347
2204,94.99440885818406
2205,90.19537491944322
2206,90.02914141832588
2207,91.32326116186285
2208,91.60306465561696
2209,91.72757308789686
2210,90.95810344885051
2211,91.34728578001979
2212,90.40022798331589
2213,89.67853373336206
2214,89.90073250436541
2215,90.16313253080106
2216,89.33484308346027
2217,88.11044146841633
2218,88.3188410469261
2219,85.20924077085941
2220,86.10582639591851
2221,83.91333742947015
2222,85.59843359341488
2223,85.22337360034685
2224,85.71791277718177
2225,86.49452204691357
2226,86.25404346830051
2227,87.13370037053143
2228,87.61912017857914
2229,87.20215185077708
2230,87.2557616003654
2231,86.62639488220107
